nome	partido	uf
Givaldo Carimbão	PHS	AL
Reinhold Stephanes	PSD	PR
Lucas Vergilio	Solidaried	GO
Ricardo Izar	PP	SP
Átila Lira	PSB	PI
Ronaldo Lessa	PDT	AL
Genecias Noronha	Solidaried	CE
Professor Victório Galli	PSC	MT
Bohn Gass	PT	RS
Evandro Gussi	PV	SP
Capitão Augusto	PR	SP
César Messias	PSB	AC
Nilton Capixaba	PTB	RO
Mauro Lopes	PMDB	MG
Odorico Monteiro	PROS	CE
André Figueiredo	PDT	CE
Nelson Pellegrino	PT	BA
Marco Maia	PT	RS
Zé Silva	Solidaried	MG
Rodrigo Maia	DEM	RJ
José Reinaldo	PSB	MA
Valadares Filho	PSB	SE
Danilo Cabral	PSB	PE
Orlando Silva	PCdoB	SP
Altineu Côrtes	PMDB	RJ
Paulo Magalhães	PSD	BA
Zenaide Maia	PR	RN
Marco Antônio Cabral	PMDB	RJ
Gabriel Guimarães	PT	MG
Andres Sanchez	PT	SP
Eduardo Bolsonaro	PSC	SP
Luciana Santos	PCdoB	PE
Julio Lopes	PP	RJ
Izalci Lucas	PSDB	DF
Conceição Sampaio	PP	AM
Carlos Melles	DEM	MG
Nilto Tatto	PT	SP
Vaidon Oliveira	DEM	CE
Erivelton Santana	PEN	BA
Walney Rocha	PEN	RJ
Roberto Alves	PRB	SP
Vinicius Carvalho	PRB	SP
Jovair Arantes	PTB	GO
Laura Carneiro	PMDB	RJ
Marinha Raupp	PMDB	RO
Carlos Zarattini	PT	SP
Jutahy Junior	PSDB	BA
Hiran Gonçalves	PP	RR
José Carlos Araújo	PR	BA
Edmar Arruda	PSD	PR
Afonso Hamm	PP	RS
Fabio Garcia	PSB	MT
Osmar Bertoldi	DEM	PR
Ezequiel Fonseca	PP	MT
Otavio Leite	PSDB	RJ
Gonzaga Patriota	PSB	PE
Macedo	PP	CE
Irmão Lazaro	PSC	BA
Goulart	PSD	SP
Ademir Camilo	PTN	MG
Bilac Pinto	PR	MG
Nelson Marquezelli	PTB	SP
Marcos Reategui	PSD	AP
Celso Russomanno	PRB	SP
Rubens Pereira Júnior	PCdoB	MA
Danrlei de Deus Hinterholz	PSD	RS
Pedro Vilela	PSDB	AL
Paulo Feijó	PR	RJ
Hugo Motta	PMDB	PB
Alberto Fraga	DEM	DF
Valdir Colatto	PMDB	SC
Delegado Éder Mauro	PSD	PA
Eduardo Barbosa	PSDB	MG
Paulo Teixeira	PT	SP
Pauderney Avelino	DEM	AM
Domingos Neto	PSD	CE
Zeca Cavalcanti	PTB	PE
Victor Mendes	PSD	MA
Josi Nunes	PMDB	TO
Onyx Lorenzoni	DEM	RS
Gorete Pereira	PR	CE
Zeca Dirceu	PT	PR
Pedro Fernandes	PTB	MA
Arnaldo Faria de Sá	PTB	SP
Leônidas Cristino	PDT	CE
Valmir Prascidelli	PT	SP
Marcus Vicente	PP	ES
Aureo	Solidaried	RJ
Luiz Fernando Faria	PP	MG
Luizianne Lins	PT	CE
Expedito Netto	PSD	RO
Rosinha da Adefal	PTdoB	AL
Jéssica Sales	PMDB	AC
Marcelo Matos	PHS	RJ
Leandre	PV	PR
Carlos Bezerra	PMDB	MT
Adérmis Marini	PSDB	SP
Heráclito Fortes	PSB	PI
Edio Lopes	PR	RR
Paulo Azi	DEM	BA
Alex Canziani	PTB	PR
Rubens Otoni	PT	GO
Laerte Bessa	PR	DF
Takayama	PSC	PR
Simone Morgado	PMDB	PA
Carlos Henrique Gaguim	PTN	TO
Bacelar	PTN	BA
Nilson Leitão	PSDB	MT
Vitor Lippi	PSDB	SP
Jorge Boeira	PP	SC
Aliel Machado	REDE	PR
Daniel Almeida	PCdoB	BA
Thiago Peixoto	PSD	GO
Geovania de Sá	PSDB	SC
Lelo Coimbra	PMDB	ES
Afonso Motta	PDT	RS
Rosangela Gomes	PRB	RJ
Maria do Rosário	PT	RS
José Fogaça	PMDB	RS
Vanderlei Macris	PSDB	SP
Uldurico Junior	PV	BA
Átila Lins	PSD	AM
Lobbe Neto	PSDB	SP
Mariana Carvalho	PSDB	RO
Alexandre Leite	DEM	SP
Gilberto Nascimento	PSC	SP
Lincoln Portela	PRB	MG
Giovani Cherini	PR	RS
Alex Manente	PPS	SP
Carlos Andrade	PHS	RR
Rafael Motta	PSB	RN
Eduardo da Fonte	PP	PE
João Carlos Bacelar	PR	BA
Dr. Sinval Malheiros	PTN	SP
Wadih Damous	PT	RJ
Sóstenes Cavalcante	DEM	RJ
Janete Capiberibe	PSB	AP
Edmilson Rodrigues	PSOL	PA
Vicentinho	PT	SP
Marcos Montes	PSD	MG
Arthur Lira	PP	AL
Márcio Marinho	PRB	BA
Bruna Furlan	PSDB	SP
Bonifácio de Andrada	PSDB	MG
Alan Rick	PRB	AC
Enio Verri	PT	PR
Jones Martins	PMDB	RS
Luiz Sérgio	PT	RJ
José Rocha	PR	BA
Marcelo Aguiar	DEM	SP
Major Olimpio	Solidaried	SP
Paulo Freire	PR	SP
Moisés Diniz	PCdoB	AC
Nelson Meurer	PP	PR
Wolney Queiroz	PDT	PE
Carlos Eduardo Cadoca	PDT	PE
Wilson Filho	PTB	PB
Benito Gama	PTB	BA
Geraldo Resende	PSDB	MS
Sergio Zveiter	PMDB	RJ
Felipe Maia	DEM	RN
Jony Marcos	PRB	SE
Diego Garcia	PHS	PR
Luana Costa	PSB	MA
Augusto Carvalho	Solidaried	DF
Zé Augusto Nalin	PMDB	RJ
Sergio Souza	PMDB	PR
Arolde de Oliveira	PSC	RJ
Luiz Nishimori	PR	PR
Luiz Couto	PT	PB
Heitor Schuch	PSB	RS
Remídio Monai	PR	RR
Ronaldo Carletto	PP	BA
Professora Marcivania	PCdoB	AP
Raimundo Gomes de Matos	PSDB	CE
Giuseppe Vecci	PSDB	GO
Padre João	PT	MG
Renzo Braz	PP	MG
Helder Salomão	PT	ES
Domingos Sávio	PSDB	MG
Paulão	PT	AL
Hissa Abrahão	PDT	AM
Antonio Carlos Mendes Thame	PV	SP
Lucio Mosquini	PMDB	RO
Leopoldo Meyer	PSB	PR
Carlos Sampaio	PSDB	SP
Caio Narcio	PSDB	MG
Ronaldo Martins	PRB	CE
Efraim Filho	DEM	PB
Júlio Delgado	PSB	MG
José Nunes	PSD	BA
Mendonça Filho	DEM	PE
George Hilton	PSB	MG
Paulo Pereira da Silva	Solidaried	SP
Margarida Salomão	PT	MG
Nelson Padovani	PSDB	PR
Roberto Sales	PRB	RJ
Cristiane Brasil	PTB	RJ
Iracema Portella	PP	PI
Jaime Martins	PSD	MG
Arnaldo Jordy	PPS	PA
Luiz Carlos Hauly	PSDB	PR
Rômulo Gouveia	PSD	PB
Luiz Cláudio	PR	RO
Arlindo Chinaglia	PT	SP
Jorge Solla	PT	BA
Covatti Filho	PP	RS
Zé Carlos	PT	MA
Wilson Beserra	PMDB	RJ
João Fernando Coutinho	PSB	PE
André Abdon	PP	AP
Baleia Rossi	PMDB	SP
Vicente Candido	PT	SP
Damião Feliciano	PDT	PB
Guilherme Mussi	PP	SP
Josué Bengtson	PTB	PA
Newton Cardoso Jr	PMDB	MG
Heuler Cruvinel	PSD	GO
Dilceu Sperafico	PP	PR
Missionário José Olimpio	DEM	SP
Pompeo de Mattos	PDT	RS
Vinicius Gurgel	PR	AP
Mandetta	DEM	MS
João Derly	REDE	RS
Pedro Cunha Lima	PSDB	PB
Zeca do Pt	PT	MS
Subtenente Gonzaga	PDT	MG
Marcio Alvino	PR	SP
Mário Negromonte Jr.	PP	BA
Lucio Vieira Lima	PMDB	BA
Miro Teixeira	REDE	RJ
Lázaro Botelho	PP	TO
Lindomar Garçon	PRB	RO
Rocha	PSDB	AC
Alexandre Valle	PR	RJ
Dulce Miranda	PMDB	TO
Alfredo Kaefer	PSL	PR
Delegado Francischini	Solidaried	PR
Zé Geraldo	PT	PA
Rodrigo de Castro	PSDB	MG
Celso Maldaner	PMDB	SC
Misael Varella	DEM	MG
João Paulo Kleinübing	PSD	SC
Aelton Freitas	PR	MG
Deley	PTB	RJ
Fernando Coelho Filho	PSB	PE
Eros Biondini	PROS	MG
Jerônimo Goergen	PP	RS
Leonardo Monteiro	PT	MG
Alfredo Nascimento	PR	AM
João Gualberto	PSDB	BA
Patrus Ananias	PT	MG
Ronaldo Benedet	PMDB	SC
Dagoberto Nogueira	PDT	MS
Pastor Luciano Braga	PRB	BA
Luis Tibé	PTdoB	MG
Daniel Vilela	PMDB	GO
Alessandro Molon	REDE	RJ
Deoclides Macedo	PDT	MA
Elmar Nascimento	DEM	BA
Júlia Marinho	PSC	PA
Diego Andrade	PSD	MG
Eliziane Gama	PPS	MA
Sérgio Reis	PRB	SP
Jorge Côrte Real	PTB	PE
Jefferson Campos	PSD	SP
Marcelo Aro	PHS	MG
Walter Ihoshi	PSD	SP
Marcon	PT	RS
Renato Andrade	PP	MG
Glauber Braga	PSOL	RJ
Abel Mesquita Jr.	DEM	RR
Rodrigo Martins	PSB	PI
Toninho Pinheiro	PP	MG
Carmen Zanotto	PPS	SC
Fernando Monteiro	PP	PE
Ricardo Teobaldo	PTN	PE
Dimas Fabiano	PP	MG
Christiane de Souza Yared	PR	PR
Antonio Bulhões	PRB	SP
Luiz Carlos Ramos	PTN	RJ
Félix Mendonça Júnior	PDT	BA
Paulo Foletto	PSB	ES
André Fufuca	PP	MA
Professora Dorinha Seabra Rezende	DEM	TO
Roberto de Lucena	PV	SP
Marco Tebaldi	PSDB	SC
Chico Lopes	PCdoB	CE
José Mentor	PT	SP
Evandro Roman	PSD	PR
Célio Silveira	PSDB	GO
Cabo Sabino	PR	CE
Paulo Maluf	PP	SP
Fábio Sousa	PSDB	GO
Adelmo Carneiro Leão	PT	MG
Marcos Rogério	DEM	RO
Carlos Manato	Solidaried	ES
Celso Pansera	PMDB	RJ
João Daniel	PT	SE
Cabo Daciolo	PTdoB	RJ
Leonardo Quintão	PMDB	MG
Laudivio Carvalho	Solidaried	MG
Silvio Torres	PSDB	SP
Soraya Santos	PMDB	RJ
Beto Faro	PT	PA
Maia Filho	PP	PI
Beto Salame	PP	PA
Simão Sessim	PP	RJ
Paes Landim	PTB	PI
Danilo Forte	PSB	CE
Fabio Reis	PMDB	SE
Sérgio Brito	PSD	BA
Afonso Florence	PT	BA
Marcelo Castro	PMDB	PI
Erika Kokay	PT	DF
Jarbas Vasconcelos	PMDB	PE
Norma Ayub	DEM	ES
Ariosto Holanda	PDT	CE
Rubens Bueno	PPS	PR
Miguel Lombardi	PR	SP
Kaio Maniçoba	PMDB	PE
Adilton Sachetti	PSB	MT
Ricardo Tripoli	PSDB	SP
Irajá Abreu	PSD	TO
Hildo Rocha	PMDB	MA
Arthur Oliveira Maia	PPS	BA
Chico D´Angelo	PT	RJ
Alberto Filho	PMDB	MA
Jozi  Araújo	PTN	AP
Ronaldo Nogueira	PTB	RS
Robinson Almeida	PT	BA
Leo de Brito	PT	AC
Mara Gabrilli	PSDB	SP
João Arruda	PMDB	PR
Tereza Cristina	PSB	MS
Waldir Maranhão	PP	MA
Maria Helena	PSB	RR
Décio Lima	PT	SC
Marcelo Squassoni	PRB	SP
Carlos Marun	PMDB	MS
Ságuas Moraes	PT	MT
Izaque Silva	PSDB	SP
Rogério Marinho	PSDB	RN
Pastor Eurico	PHS	PE
Alexandre Baldy	PTN	GO
Alice Portugal	PCdoB	BA
Roberto Balestra	PP	GO
Delegado Waldir	PR	GO
Elcione Barbalho	PMDB	PA
Jorge Tadeu Mudalen	DEM	SP
Assis do Couto	PDT	PR
Luis Carlos Heinze	PP	RS
Angelim	PT	AC
Givaldo Vieira	PT	ES
Flaviano Melo	PMDB	AC
Arthur Virgílio Bisneto	PSDB	AM
Pedro Paulo	PMDB	RJ
Júlio Cesar	PSD	PI
Adelson Barreto	PR	SE
Luiz Lauro Filho	PSB	SP
Julião Amin	PDT	MA
Paulo Henrique Lustosa	PP	CE
Henrique Fontana	PT	RS
Mauro Pereira	PMDB	RS
Herculano Passos	PSD	SP
Celso Jacob	PMDB	RJ
Cabuçu Borges	PMDB	AP
Toninho Wandscheer	PROS	PR
Roberto Britto	PP	BA
José Airton Cirilo	PT	CE
Silvio Costa	PTdoB	PE
Magda Mofatto	PR	GO
Adalberto Cavalcanti	PTB	PE
Renata Abreu	PTN	SP
Jandira Feghali	PCdoB	RJ
Cleber Verde	PRB	MA
Saraiva Felipe	PMDB	MG
Vander Loubet	PT	MS
Joaquim Passarinho	PSD	PA
João Paulo Papa	PSDB	SP
José Priante	PMDB	PA
Giacobo	PR	PR
João Rodrigues	PSD	SC
Sérgio Moraes	PTB	RS
Aguinaldo Ribeiro	PP	PB
Marcos Abrão	PPS	GO
José Guimarães	PT	CE
Jair Bolsonaro	PSC	RJ
Dâmina Pereira	PSL	MG
Esperidião Amin	PP	SC
Waldenor Pereira	PT	BA
José Otávio Germano	PP	RS
Cesar Souza	PSD	SC
Ronaldo Fonseca	PROS	DF
Hugo Leal	PSB	RJ
Rodrigo Pacheco	PMDB	MG
Mauro Mariani	PMDB	SC
Betinho Gomes	PSDB	PE
Benedita da Silva	PT	RJ
Cícero Almeida	PMDB	AL
Veneziano Vital do Rêgo	PMDB	PB
Cajar Nardes	PR	RS
Rocha Loures	PMDB	PR
Hélio Leite	DEM	PA
Delegado Edson Moreira	PR	MG
Weverton Rocha	PDT	MA
José Carlos Aleluia	DEM	BA
Marcus Pestana	PSDB	MG
Aluisio Mendes	PTN	MA
Caetano	PT	BA
Rôney Nemer	PP	DF
Sergio Vidigal	PDT	ES
Adail Carneiro	PP	CE
Jose Stédile	PSB	RS
Vitor Valim	PMDB	CE
Augusto Coutinho	Solidaried	PE
Bruno Araújo	PSDB	PE
Weliton Prado	PMB	MG
Vicentinho Júnior	PR	TO
Hermes Parcianello	PMDB	PR
Silas Câmara	PRB	AM
Flavinho	PSB	SP
Alceu Moreira	PMDB	RS
Walter Alves	PMDB	RN
Valmir Assunção	PT	BA
Bebeto	PSB	BA
Fábio Faria	PSD	RN
Pedro Uczai	PT	SC
Jhonatan de Jesus	PRB	RR
Sandro Alex	PSD	PR
Jorginho Mello	PR	SC
André Amaral	PMDB	PB
Valtenir Pereira	PMDB	MT
Fábio Mitidieri	PSD	SE
Eli Corrêa Filho	DEM	SP
Francisco Chapadinha	PTN	PA
Moses Rodrigues	PMDB	CE
Beto Mansur	PRB	SP
Juscelino Filho	DEM	MA
Brunny	PR	MG
Marcelo Álvaro Antônio	PR	MG
Roberto Góes	PDT	AP
Chico Alencar	PSOL	RJ
JHC	PSB	AL
Benjamin Maranhão	Solidaried	PB
Assis Carvalho	PT	PI
Rogério Rosso	PSD	DF
Daniel Coelho	PSDB	PE
Milton Monti	PR	SP
Eduardo Cury	PSDB	SP
Ezequiel Teixeira	PTN	RJ
Marinaldo Rosendo	PSB	PE
César Halum	PRB	TO
Pedro Chaves	PMDB	GO
Francisco Floriano	DEM	RJ
Jô Moraes	PCdoB	MG
Andre Moura	PSC	SE
Lúcio Vale	PR	PA
Nilson Pinto	PSDB	PA
Ivan Valente	PSOL	SP
Cacá Leão	PP	BA
Wladimir Costa	Solidaried	PA
João Campos	PRB	GO
Pepe Vargas	PT	RS
Evair Vieira de Melo	PV	ES
Alexandre Serfiotis	PMDB	RJ
Sabino Castelo Branco	PTB	AM
Antonio Brito	PSD	BA
Tiririca	PR	SP
Marcelo Delaroli	PR	RJ
Assis Melo	PCdoB	RS
Fausto Pinato	PP	SP
Wellington Roberto	PR	PB
Miguel Haddad	PSDB	SP
Jean Wyllys	PSOL	RJ
Tadeu Alencar	PSB	PE
Rogério Peninha Mendonça	PMDB	SC
Franklin	PP	MG
João Marcelo Souza	PMDB	MA
Laercio Oliveira	Solidaried	SE
Paulo Pimenta	PT	RS
André de Paula	PSD	PE
Raquel Muniz	PSD	MG
Felipe Bornier	PROS	RJ
Luzia Ferreira	PPS	MG
Dejorge Patrício	PRB	RJ
Carlos Gomes	PRB	RS
Flávia Morais	PDT	GO
Aníbal Gomes	PMDB	CE
Luiza Erundina	PSOL	SP
Keiko Ota	PSB	SP
Paulo Abi-Ackel	PSDB	MG
Claudio Cajado	DEM	BA
Dr. Jorge Silva	PHS	ES
Luciano Ducci	PSB	PR
Marcos Soares	DEM	RJ
Pollyana Gama	PPS	SP
Shéridan	PSDB	RR
Beto Rosado	PP	RN
Elizeu Dionizio	PSDB	MS
Davidson Magalhães	PCdoB	BA
Nivaldo Albuquerque	PRP	AL
Reginaldo Lopes	PT	MG
Darcísio Perondi	PMDB	RS
Tenente Lúcio	PSB	MG
Junior Marreca	PEN	MA
Fábio Ramalho	PMDB	MG
Stefano Aguiar	PSD	MG
Antônio Jácome	PTN	RN
Renato Molling	PP	RS
Silas Freire	PR	PI
Yeda Crusius	PSDB	RS
Pr. Marco Feliciano	PSC	SP
Ana Perugini	PT	SP
